simplified,traditional,pinyin,meaning,frequency,hsk_level,pos,radical
消,消,xiāo,(after 不 or 只 or 何 etc) to need; to require; to take ; to consume; to reduce ; to diminish; to subside ; to idle away (the time),5407,7,v,氵
消沉,消沉,xiāo chén,bad mood ; depressed ; low spirit,18836,7,a,氵
消除,消除,xiāo chú,to eliminate ; to remove,3789,5,v,氵
消毒,消毒,xiāo dú,to disinfect; to sterilize,7069,5,"v,vn",氵
消防,消防,xiāo fáng,fire control ; firefighting,3685,5,b,氵
消费,消費,xiāo fèi,to consume ; to spend,4382,3,"vn,v",氵
消费者,消費者,xiāo fèi zhě,consumer,7354,5,n,氵
消耗,消耗,xiāo hào,to consume ; to use up,6744,6,"v,vn",氵
消化,消化,xiāo huà,(fig.) to absorb (information etc); to assimilate; to process ; to digest (food),5399,4,"v,vn",氵
消极,消極,xiāo jí,inactive ; negative ; passive,7959,5,"a,ad",氵
消灭,消滅,xiāo miè,annihilation (in quantum field theory) ; to annihilate ; to cause to perish ; to perish ; to put an end to,4105,6,v,氵
消遣,消遣,xiāo qiǎn,amusement ; pastime ; recreation ; to make sport of ; to while the time away,15871,7,"v,vn",氵
消失,消失,xiāo shī,to disappear; to fade away,1528,3,"v,vn",氵
消息,消息,xiāo xi,information ; news,448,3,n,氵
萧条,蕭條,xiāo tiáo,(economics) in a slump; sluggish; depressed ; bleak; desolate,16548,7,"a,an",艹
销,銷,xiāo,pin; bolt ; to cancel; to annul ; to expend; to spend ; to fasten with a pin or bolt ; to melt (metal) ; to sell,11332,7,v,钅
销毁,銷毀,xiāo huǐ,to destroy (by melting or burning) ; to obliterate,9028,7,"v,vn",钅
销量,銷量,xiāo liàng,sales volume,6489,7,n,钅
销售,銷售,xiāo shòu,"sales (representative, agreement etc) ; to market ; to sell",1999,4,"vn,v",钅
潇洒,瀟灑,xiāo sǎ,confident and at ease ; free and easy,10096,7,"a,ad",氵
小,小,xiǎo,few ; small ; tiny ; young,100,1,"a,ad",小
小吃,小吃,xiǎo chī,refreshments ; snack,10263,4,n,小
小丑,小丑,xiǎo chǒu,clown,10969,7,n,小
小贩,小販,xiǎo fàn,hawker ; peddler,16732,7,n,小
小费,小費,xiǎo fèi,gratuity ; tip,17358,6,"nr,n",小
小孩儿,小孩兒,xiǎo hái r,child ; erhua variant of 小孩,25607,1,,小
小伙子,小伙子,xiǎo huǒ zi,lad ; young guy ; young man ; youngster,4267,4,n,小
小姐,小姐,xiǎo jie,(slang) prostitute ; miss ; young lady,1575,1,n,小
小看,小看,xiǎo kàn,to look down on ; to underestimate,13789,7,v,小
小康,小康,Xiǎo kāng | xiǎo kāng,"Xiaokang, a Confucian near-ideal state of society, second only to Datong 同 ; a period of peace and prosperity ; moderately affluent ; well-off",27618,7,n,小
小路,小路,xiǎo lù,lane ; minor road ; pathway ; trail,12622,7,n,小
小麦,小麥,xiǎo mài,wheat,8774,6,n,小
小朋友,小朋友,xiǎo péng yǒu,child,4536,1,n,小
小品,小品,xiǎo pǐn,"essay ; short, simple literary or artistic creation ; skit",8510,7,n,小
小气,小氣,xiǎo qì,miserly ; narrow-minded ; petty ; stingy,13236,7,a,小
小区,小區,xiǎo qū,district ; neighborhood,6982,7,n,小
小曲,小曲,xiǎo qǔ,ballad ; folk tune ; popular song,34172,7,"n,nr",小
小人,小人,xiǎo rén,"I, me (used to refer humbly to oneself) ; nasty person ; person of low social status (old) ; vile character",7656,7,n,小
小声,小聲,xiǎo shēng,(speak) in whispers ; in a low voice,7958,2,"v,d,ad",小
小时,小時,xiǎo shí,hour,389,1,"n,q",小
小时候,小時候,xiǎo shí hou,in one's childhood,3067,2,"t,n",小
小说,小說,xiǎo shuō,fiction ; novel,2624,2,n,小
小提琴,小提琴,xiǎo tí qín,fiddle ; violin,12077,7,n,小
小偷儿,小偷兒,xiǎotōur5,Thief,147151,5,,小
小溪,小溪,xiǎo xī,brook ; streamlet,16437,7,n,小
小心,小心,xiǎo xīn,to be careful ; to take care,1411,2,"a,v,ad",小
小心翼翼,小心翼翼,xiǎo xīn yì yì,cautious and solemn (idiom); very carefully ; gently and cautiously ; prudent,11125,7,l,小
小型,小型,xiǎo xíng,small scale ; small size,5057,4,b,小
小学,小學,xiǎo xué,elementary school; primary school,3819,1,n,小
小学生,小學生,xiǎo xué shēng,(fig.) beginner ; primary school student ; schoolchild,12165,1,n,小
小于,小於,xiǎo yú,"less than, <",15276,6,v,小
小卒,小卒,xiǎo zú,(chess) pawn ; a nobody ; foot soldier ; minor figure,50862,7,n,小
小组,小組,xiǎo zǔ,group,1652,2,n,小
晓得,曉得,xiǎo de,to know,5338,6,v,日
孝敬,孝敬,xiào jìng,to give presents (to one's elders or superiors) ; to show filial respect ; to support one's aged parents,23538,7,v,子
孝顺,孝順,xiào shùn,devoted to one's parents (and grandparents etc) ; dutiful ; filial ; filial piety ; to show filial piety towards (an older family member),17571,7,"v,a,an",子
肖像,肖像,xiào xiàng,"(in a general sense) representation of a person ; likeness ; portrait (painting, photo etc)",16725,7,n,⺼
效仿,傚仿,xiào fǎng,see 仿效,21781,7,v,攵
效果,效果,xiào guǒ,(theater) sound or visual effects ; effect ; efficacy ; result,1352,3,n,攵
效力,效力,xiào lì,effectiveness ; positive effect ; to serve (in some capacity),6954,7,"n,v",攵
效率,效率,xiào lǜ,efficiency,5188,4,n,攵
效益,效益,xiào yì,benefit ; effectiveness ; efficiency,16352,7,n,攵
效应,效應,xiào yìng,effect (scientific phenomenon),5050,7,n,攵
校园,校園,xiào yuán,campus,4303,2,n,木
校长,校長,xiào zhǎng,"(college, university) president ; headmaster",3365,2,n,木
笑,咲 | 笑,xiào,old variant of 笑 ; to laugh at ; to laugh; to smile,382,1,"v,vn",⺮
笑话,笑話,xiào hua,joke; jest ; to laugh at; to mock,4078,2,n,⺮
笑话儿,笑話兒,xiàohuar5,Joke,1000000,2,,⺮
笑脸,笑臉,xiào liǎn,smiley :) ☺ ; smiling face,9303,6,n,⺮
笑容,笑容,xiào róng,smile ; smiling expression,3774,6,n,⺮
笑声,笑聲,xiào shēng,laughter,7252,6,n,⺮
些,些,xiē,"classifier indicating a small amount or small number greater than 1: some, a few, several",611,4,q,二
歇,歇,xiē,(dialect) to sleep ; a moment ; a short while ; to halt ; to rest ; to stop ; to take a break,6962,5,v,欠
协调,協調,xié tiáo,concerted ; harmonious ; to coordinate ; to fit together ; to harmonize ; to match (colors etc),4200,6,"v,vn,a,ad,an",十
协定,協定,xié dìng,accord ; agreement ; to reach an agreement,7490,7,n,十
协会,協會,xié huì,a society ; an association,2517,6,n,十
协商,協商,xié shāng,agreement ; to consult with ; to talk things over,7011,6,"v,vn",十
协同,協同,xié tóng,collaborate ; collaboration ; collaborative ; coordinated ; in coordination with ; to cooperate,12214,7,"v,vn",十
协议,協議,xié yì,agreement ; pact ; protocol,1554,5,"n,v",十
协议书,協議書,xié yì shū,contract ; protocol,16037,5,n,十
协助,協助,xié zhù,to aid ; to provide assistance,3724,6,"v,vn",十
协作,協作,xié zuò,cooperation ; coordination,9517,7,"v,vn",十
邪,衺 | 邪,xié,(coll.) strange ; abnormal ; demonic ; evil ; iniquitous ; nefarious ; old variant of 邪 ; unhealthy influences that cause disease (Chinese medicine),5941,7,"a,g,y",阝
邪恶,邪惡,xié è,evil ; sinister ; vicious ; wicked,4300,7,"a,an",阝
挟持,挾持,xié chí,to seize,19182,7,v,扌
斜,斜,xié,inclined ; oblique ; slanting ; tilting,7766,5,"ad,v,a",斗
携带,攜帶,xié dài,Taiwan pr. [xī dài] ; to carry (on one's person) ; to support (old),4738,7,v,扌
携手,攜手,xié shǒu,hand in hand ; to collaborate ; to join hands,9426,7,v,扌
鞋,鞋 | 鞵,xié,shoe ; variant of 鞋,1249,2,n,革
写,寫,xiě,to write,352,1,v,冖
写照,寫照,xiě zhào,portrayal,18487,7,n,冖
写字楼,寫字樓,xiě zì lóu,office building,23538,6,n,冖
写字台,寫字檯,xiě zì tái,writing desk,39106,6,n,冖
写作,寫作,xiě zuò,to compose ; to write ; writing ; written works,5219,3,"v,vn",冖
泄,泄 | 洩,xiè,(bound form) to leak out; to discharge; (fig.) to divulge ; variant of 泄,10624,7,g,氵
泄漏,洩漏,xiè lòu,(of a liquid or gas) to leak ; to divulge; to leak (information),8141,7,"v,vn",氵
泄露,泄露,xiè lù,also pr. [xiè lòu] ; to leak (information); to divulge,7731,7,v,氵
泄密,洩密,xiè mì,to leak secrets,18653,7,"v,vn",氵
泄气,洩氣,xiè qì,(disparaging) pathetic ; (of a tire) to be flat ; to be discouraged ; to despair ; to leak (gas) ; to vent one's anger,22620,7,"v,vn",氵
泻,瀉,xiè,a torrent ; diarrhea ; laxative ; to flood ; to flow out swiftly,15896,7,v,氵
卸,卸,xiè,to get rid of ; to remove or strip ; to unhitch ; to unload,8077,7,v,卩
谢谢,謝謝,xiè xie,thank you ; thanks ; to thank,520,1,v,讠
心,心,xīn,center ; core ; heart ; intention ; mind,291,3,n,心
心爱,心愛,xīn ài,beloved,7587,7,b,心
心安理得,心安理得,xīn ān lǐ dé,to have a clear conscience ; to have no qualms about sth,25820,7,v,心
心病,心病,xīn bìng,anxiety ; heart disease (medicine) ; mental disorder ; secret worry ; sore point,27340,7,n,心
心肠,心腸,xīn cháng,heart ; intention ; mood ; one's inclination ; state of mind ; to have the heart for sth,17817,7,n,心
心得,心得,xīn dé,"insight ; knowledge ; tips ; understanding ; what one has learned (through experience, reading etc)",14908,7,n,心
心慌,心慌,xīn huāng,(dialect) irregular heart-beat ; to be flustered,27384,7,"a,an",心
心急如焚,心急如焚,xīn jí rú fén,to burn with impatience ; torn with anxiety,32937,7,v,心
心里,心裡,xīn li,chest ; heart ; mind,1214,2,s,心
心里话,心裡話,xīn li huà,(to express one's) true feelings ; secret mind ; what is on one's mind,16506,7,n,心
心理,心理,xīn lǐ,mentality ; psychology,1160,4,n,心
心灵,心靈,xīn líng,bright ; heart ; quick-witted ; smart ; spirit ; thoughts,3168,6,n,心
心灵手巧,心靈手巧,xīn líng shǒu qiǎo,capable ; clever ; dexterous,44403,7,v,心
心目,心目,xīn mù,mind,7322,7,n,心
心情,心情,xīn qíng,mood; frame of mind,1302,2,n,心
心声,心聲,xīn shēng,aspirations ; feelings ; heartfelt wishes ; inner voice ; thoughts,8599,7,n,心
心事,心事,xīn shì,a load on one's mind ; worry,9447,7,n,心
心思,心思,xīn si,inclination ; mind ; mood ; thoughts,5582,7,n,心
心酸,心酸,xīn suān,to feel sad,20160,7,a,心
心态,心態,xīn tài,attitude (of the heart) ; mentality ; state of one's psyche ; way of thinking,6962,5,n,心
心疼,心疼,xīn téng,to be distressed ; to feel sorry for sb ; to grudge ; to love dearly ; to regret,14175,5,v,心
心想事成,心想事成,xīn xiǎng shì chéng,to have one's wishes come true ; wish you the best!,17746,7,v,心
心胸,心胸,xīn xiōng,ambition ; aspiration ; heart ; mind,14296,7,n,心
心血,心血,xīn xuè,expenditure (for some project) ; heart's blood ; meticulous care,10451,7,n,心
心眼儿,心眼兒,xīn yǎn r,baseless suspicions ; intention ; mind ; one's thoughts ; willingness to accept new ideas,55439,7,,心
心意,心意,xīn yì,intention ; regard; kindly feelings,7619,7,n,心
心愿,心願,xīn yuàn,aspiration ; cherished desire ; craving ; dream ; wish,7950,6,n,心
心脏,心臟,xīn zàng,heart,2663,6,n,心
心脏病,心臟病,xīn zàng bìng,heart disease,5722,6,n,心
心中,心中,xīn zhōng,central point ; in one's heart ; in one's thoughts,1983,2,s,心
芯片,芯片,xīn piàn,computer chip ; microchip,4335,7,n,艹
辛苦,辛苦,xīn kǔ,arduous ; exhausting ; hard ; hardship(s) ; to go to a lot of trouble ; to work hard ; tough,2449,5,"a,v,ad,an",辛
辛勤,辛勤,xīn qín,hardworking ; industrious,11878,7,"a,ad",辛
辛酸,辛酸,xīn suān,bitter ; fig. sad ; miserable ; pungent (taste),26445,7,"a,an",辛
欣赏,欣賞,xīn shǎng,to appreciate; to enjoy; to admire,2305,5,"v,vn",欠
欣慰,欣慰,xīn wèi,to be gratified,8454,7,"a,an",欠
欣喜,欣喜,xīn xǐ,happy,13520,7,"a,an",欠
欣欣向荣,欣欣向榮,xīn xīn xiàng róng,(idiom) flourishing ; thriving,32921,7,v,欠
新,新,Xīn | xīn,abbr. for Xinjiang 疆 or Singapore 坡 ; meso- (chemistry) ; new ; newly ; surname Xin,150,1,"a,d,b",斤
新潮,新潮,xīn cháo,fashionable ; modern,17692,7,n,斤
新陈代谢,新陳代謝,xīn chén dài xiè,metabolism (biology) ; the new replaces the old (idiom),16136,7,v,斤
新房,新房,xīn fáng,brand new house ; bridal chamber,15052,7,n,斤
新款,新款,xīn kuǎn,latest fashion ; new model ; new style,14970,7,"b,n",斤
新郎,新郎,xīn láng,bridegroom ; groom,8652,4,n,斤
新年,新年,xīn nián,New Year,3160,1,t,斤
新娘,新娘,xīn niáng,bride,4498,4,n,斤
新奇,新奇,xīn qí,novel; new; exotic,13235,7,a,斤
新人,新人,xīn rén,"(paleoanthropology) Homo sapiens ; bride and groom ; fresh talent ; newcomer ; newlywed, esp. new bride",4775,6,n,斤
新生,新生,xīn shēng,emerging ; nascent ; new ; new life ; new student ; newborn ; rebirth ; regeneration,6116,7,"n,nr,v",斤
新式,新式,xīn shì,latest type ; new style,15606,7,a,斤
新手,新手,xīn shǒu,new hand ; novice ; raw recruit,10247,7,n,斤
新闻,新聞,xīn wén,news,805,2,n,斤
新鲜,新鮮,xīn xiān,"fresh (experience, food etc) ; freshness ; novel ; uncommon",2651,4,a,斤
新型,新型,xīn xíng,new type; new kind,7169,4,b,斤
新兴,新興,Xīn xīng | xīn xīng,"(of markets, industries, infectious diseases etc) rising ; Xinxing county in Yunfu 云浮, Guangdong ; Xinxing or Hsinhsing district of Kaohsiung city 市, south Taiwan ; emerging ; in the ascendant",17047,6,b,斤
新颖,新穎,xīn yǐng,fig. new and original ; lit. new bud,15260,7,a,斤
薪水,薪水,xīn shuǐ,salary ; wage,7554,6,n,艹
信,信,xìn,at random ; at will ; confidence ; letter ; mail ; to believe ; to profess faith in ; to trust ; trust ; truthful,419,2,"n,v",亻
信贷,信貸,xìn dài,borrowed money ; credit,12373,7,n,亻
信封,信封,xìn fēng,envelope,10268,3,n,亻
信号,信號,xìn hào,signal,1815,2,n,亻
信件,信件,xìn jiàn,letter (sent by mail),9107,7,n,亻
信赖,信賴,xìn lài,to have confidence in ; to have faith in ; to rely on ; to trust,8119,7,"v,vn",亻
信念,信念,xìn niàn,belief ; conviction ; faith,5379,5,n,亻
信任,信任,xìn rèn,to have confidence in ; to trust,1963,3,"v,vn",亻
信息,信息,xìn xī,information ; message ; news,612,2,n,亻
信箱,信箱,xìn xiāng,mailbox ; post office box,10392,5,n,亻
信心,信心,xìn xīn,confidence ; faith (in sb or sth),2405,2,n,亻
信仰,信仰,xìn yǎng,conviction ; firm belief ; to believe in (a religion),3912,6,"vn,n,v",亻
信用,信用,xìn yòng,(commerce) credit ; (literary) to trust and appoint ; trustworthiness,5789,6,"n,a",亻
信用卡,信用卡,xìn yòng kǎ,credit card,3960,2,n,亻
信誉,信譽,xìn yù,distinction ; prestige ; reputation ; trust,10182,7,n,亻
星期,星期,xīng qī,Sunday ; day of the week ; week,1956,1,n,日
星期日,星期日,Xīng qī rì,Sunday,12997,1,t,日
星期天,星期天,Xīng qī tiān,Sunday,7577,1,t,日
星星,星星,xīng xing,(coll.) a star; the stars in the sky,4903,2,n,日
星座,星座,xīng zuò,astrological sign ; constellation,6353,7,n,日
猩猩,猩猩,xīng xing,(slang) dialect speaker whose speech is corrupted by Standard Mandarin ; orangutan,15070,7,n,犭
腥,腥,xīng,fishy (smell),15338,7,a,⺼
刑法,刑法,xíng fǎ,criminal law,15273,7,n,刂
行,行,háng | xíng,"(Tw) column ; (in data tables) row ; OK! ; Taiwan pr. [xìng] for the behavior-conduct sense ; a visit ; all right ; behavior ; capable ; commercial firm ; competent ; conduct ; current ; effective ; in circulation ; line ; line of business ; makeshift ; profession ; row ; temporary ; to do ; to go ; to perform ; to rank (first, second etc) among one's siblings (by age) ; to travel ; to walk ; will do",272,1,"v,g,q,a,n",行
行程,行程,xíng chéng,(Tw) (computing) process ; course (of history) ; course of a journey ; distance traveled ; itinerary ; journey ; route ; stroke (of a piston) ; trajectory,6301,6,"n,v",行
行动,行動,xíng dòng,action ; mobile ; operation ; to move about,666,2,"vn,v",行
行家,行家,háng jiā,connoisseur ; expert ; veteran,15474,7,n,行
行李,行李,xíng li,luggage,4886,3,n,行
行列,行列,háng liè,"(fig.) ranks (as in ""join the ranks of ..."") ; array ; formation",8922,7,n,行
行情,行情,háng qíng,market price ; quotation of market price ; the current market situation,10951,7,n,行
行人,行人,xíng rén,official responsible for arranging audiences with the emperor ; passer-by ; pedestrian ; traveler on foot,10141,2,n,行
行使,行使,xíng shǐ,to exercise (a right etc),8152,7,"v,vn",行
行驶,行駛,xíng shǐ,to travel along a route (of vehicles etc),5640,5,"v,vn",行
行为,行為,xíng wéi,action ; activity ; behavior ; conduct,734,2,n,行
行业,行業,háng yè,trade; profession; industry; business,2346,4,n,行
行政,行政,xíng zhèng,(attributive) administrative; executive ; administration,3843,7,n,行
行走,行走,xíng zǒu,to walk,6775,7,"v,vn",行
形,形,xíng,form ; shape ; to appear ; to look,2745,6,g,彡
形成,形成,xíng chéng,to form ; to take shape,2335,3,"v,vn",彡
形容,形容,xíng róng,(literary) countenance; appearance ; to describe,4235,4,"v,vn",彡
形式,形式,xíng shì,form ; formality ; outer appearance ; shape,2476,3,n,彡
形势,形勢,xíng shì,circumstances ; situation ; terrain,3741,4,n,彡
形态,形態,xíng tài,form ; morphology ; pattern ; shape,8215,5,n,彡
形象,形象,xíng xiàng,figure ; form ; image ; visualization ; vivid,2124,3,"n,a",彡
形形色色,形形色色,xíng xíng sè sè,all kinds of ; all sorts of ; every (different) kind of,22513,7,l,彡
形影不离,形影不離,xíng yǐng bù lí,inseparable (as form and shadow),24715,7,v,彡
形状,形狀,xíng zhuàng,form; shape,5839,3,n,彡
型,型,xíng,model ; mold ; style ; type,1361,4,"k,g,n",土
型号,型號,xíng hào,"model (particular version of a manufactured article) ; type (product specification in terms of color, size etc)",7153,4,n,土
醒,醒,xǐng,to be awake ; to become aware ; to come to ; to sober up ; to wake up,1399,4,"v,g,vn",酉
